rho,Lambda,window,window_method,regime,x_min,x_max,Bbar,F_expected,active_density,T,p1_amplitude,cos_coeff,sin_coeff,fit_rmse,p1_amplitude_norm,lk_fit_norm,m_eff_fit
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.004,2.571996274894729e-06,-1.5696782597591967e-06,2.037467790889393e-06,4.770564101581865e-06,0.013331830066813282,1.795913477301936e-05,11.337111263392153
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.0002,8.234826757419188e-05,-5.151513293114022e-06,8.218697636037946e-05,3.155501821001623e-05,1.0,1.0,22.997082776485616
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.00030682548092687834,3.914994810818114e-05,-8.246179882913978e-06,3.827164687091347e-05,1.0785011740074966e-05,0.47541920748859584,0.47320626849660685,22.997082776485616
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.00047070937873005034,6.953196595194044e-06,-6.9496626146369305e-06,2.216583725822675e-07,5.863694577673868e-06,0.08443646478572903,0.1214706740615767,22.997082776485616
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.000722128157528199,1.4916509796347673e-05,-2.059972500631488e-06,-1.4773583783265932e-05,6.4136585604171406e-06,0.1811393273441801,0.012021673295513945,22.997082776485616
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.0011078365961221508,1.207632668076609e-05,1.6938594353814822e-06,-1.1956943853416392e-05,4.1514450949405285e-06,0.14664943218005033,0.00027521579237544275,22.997082776485616
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.0016995624819678722,4.86129481588007e-06,1.8099817781177446e-06,-4.511779388421399e-06,3.1037139137423625e-06,0.059033358673881924,6.66781460082929e-07,22.997082776485616
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.0026073453794753566,1.650782743673134e-06,6.888760353592885e-07,-1.50017781436624e-06,5.328841313418511e-06,0.020046356678795424,5.151199565996001e-11,22.997082776485616
-0.02,1.0,W1,zero,shallow_hole,20.265396613319695,27.76555597839301,0.04163981541238642,0.12566370614359174,0.02,0.004,9.38424480343197e-07,2.4015064668384374e-07,-9.071759323332663e-07,7.271816963418865e-06,0.011395801125964443,2.014593975132366e-17,22.997082776485616
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.0002,1.7635905086951803e-05,-1.323590259091033e-06,1.7586166639208553e-05,2.6249669135240373e-06,1.0,1.0,27.96653083668044
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.00030682548092687834,2.9826795924410216e-06,1.6517068500099475e-07,-2.9781027846567756e-06,1.3373925295011274e-06,0.16912540511730262,0.23634139143677788,27.96653083668044
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.00047070937873005034,5.590427795219375e-06,3.4937314448706053e-06,-4.364255208473001e-06,1.4393609606841138e-06,0.3169912611604799,0.020595868033417192,27.96653083668044
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.000722128157528199,3.584227930899561e-06,3.5258065717217e-06,6.444981609319163e-07,2.0485264276620403e-06,0.2032347029102242,0.0003878951966511782,27.96653083668044
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.0011078365961221508,1.5996272307023241e-06,8.462578286991854e-07,1.3574442767825596e-06,2.3560900471998987e-06,0.09070287137606751,6.965787200199741e-07,27.96653083668044
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.0016995624819678722,2.4544338883387886e-07,-1.9418229533638735e-07,-1.501189305189412e-07,4.47384185938148e-06,0.013917255033056054,3.399187330327712e-11,27.96653083668044
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.0026073453794753566,4.078685328406669e-07,-2.1673803309780012e-08,-4.0729226156617205e-07,7.00000061049708e-06,0.02312716760663646,6.569997603140714e-18,27.96653083668044
-0.02,1.0,W2,zero,shallow_hole,27.76555597839301,35.63947988781235,0.0315432358436058,0.12566370614359174,0.02,0.004,3.2185364222463077e-07,1.595284412508449e-07,-2.7953612189721805e-07,9.162942614024797e-06,0.01824990782371352,2.6209080813606853e-28,27.96653083668044
-0.14,1.0,W0,zero,deep_hole,12.036178516178166,21.458512058520814,0.05971095614511358,0.12035405699485786,0.019154943091895332,0.0002,0.00030757643511651795,-6.717204640183266e-06,0.0003075030773842881,0.00011939771430715437,1.0,1.0,13.58892759917459
-0.14,1.0,W0,zero,deep_hole,12.036178516178166,21.458512058520814,0.05971095614511358,0.12035405699485786,0.019154943091895332,0.00030682548092687834,0.0002556469203736446,-1.0090867604934056e-05,0.0002554476899240004,8.192519422821278e-05,0.831165496397014,0.8456828409604091,13.58892759917459
