rho,T,invB,B,mu,E_ref,rank_by_abs_E_minus_mu,branch,n,E,E_minus_mu,abs_E_minus_mu,occupation
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,6,LL+,1,0.16052989806104276,-0.039770582057839676,0.039770582057839676,1.0
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,7,LL+,4,0.24825780142579001,0.04795732130690758,0.04795732130690758,7.277797169674767e-105
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,8,LLTR+,1,0.14927116236690546,-0.05102931775197697,0.05102931775197697,1.0
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,1,LLTR+,3,0.1930508679506557,-0.0001281002641903839,0.0001281002641903839,0.6548667760990011
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,2,LL+,2,0.1830699889168776,-0.010108979297968501,0.010108979297968501,1.0
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,3,LL+,3,0.20893889505658225,0.01575992684173616,0.01575992684173616,5.994509974527966e-35
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,4,LLTR+,2,0.16958875644065105,-0.02359021177419504,0.02359021177419504,1.0
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,5,LLTR+,4,0.21696859369010293,0.023789625475256843,0.023789625475256843,2.1952533458888915e-52
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,6,LL+,1,0.15633406299560057,-0.03684490521924552,0.03684490521924552,1.0
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,7,LL+,4,0.234422387670312,0.04124341945546592,0.04124341945546592,2.7609120889135765e-90
0.01,0.0002,90.0,0.011111111111111112,0.1931789682148461,0.11182314399601395,8,LLTR+,1,0.14701500091975717,-0.046163967295088926,0.046163967295088926,1.0
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,1,LL+,3,0.20040542248547746,0.00018574317604022617,0.00018574317604022617,0.2831853071796242
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,2,LLTR+,4,0.20815767273513683,0.007937993425699591,0.007937993425699591,5.792503290549152e-18
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,3,LLTR+,3,0.18665037969341128,-0.01356929961602596,0.01356929961602596,1.0
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,4,LL+,2,0.17709348746226297,-0.023126191847174266,0.023126191847174266,1.0
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,5,LL+,4,0.22336910941563562,0.023149430106198382,0.023149430106198382,5.390775282115012e-51
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,6,LLTR+,5,0.2298954306023368,0.029675751292899566,0.029675751292899566,3.630152215764655e-65
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,7,LLTR+,2,0.1655396881369804,-0.03467999117245685,0.03467999117245685,1.0
0.01,0.0002,100.0,0.01,0.20021967930943724,0.1112036995515695,8,LL+,5,0.24614056468777273,0.045920885378335496,0.045920885378335496,1.9233768316918567e-100
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,1,LLTR+,1,0.2637090053514607,0.0002127043056176503,0.0002127043056176503,0.2566370614544965
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,2,LL0,0,0.19640000000000002,-0.06709630104584302,0.06709630104584302,1.0
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,3,LL+,1,0.44813134998830106,0.18463504894245802,0.18463504894245802,0.0
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,4,LLTR+,2,0.47277490132914013,0.2092786002832971,0.2092786002832971,0.0
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,5,LL+,2,0.6760377324737461,0.41254143142790306,0.41254143142790306,0.0
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,6,LLTR+,3,0.6914780181524078,0.4279817171065648,0.4279817171065648,0.0
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,7,LL+,3,0.9011946152088495,0.6376983141630064,0.6376983141630064,0.0
0.02,0.0002,10.0,0.1,0.26349630104584304,0.16137869955156953,8,LLTR+,4,0.9124432101439857,0.6489469090981426,0.6489469090981426,0.0
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,1,LLTR+,1,0.24355386141421367,-6.372117952624379e-06,6.372117952624379e-06,0.5079644737259436
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,2,LL0,0,0.17781666666666668,-0.06574356686549962,0.06574356686549962,1.0
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,3,LL+,1,0.3925879510039717,0.1490277174718054,0.1490277174718054,0.0
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,4,LLTR+,2,0.41671647701274905,0.17315624348058276,0.17315624348058276,0.0
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,5,LL+,2,0.5832104442643672,0.3396502107322009,0.3396502107322009,0.0
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,6,LLTR+,3,0.5984417454840147,0.35488151195184847,0.35488151195184847,0.0
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,7,LL+,3,0.7711609188933302,0.5276006853611639,0.5276006853611639,0.0
0.02,0.0002,12.0,0.08333333333333333,0.2435602335321663,0.15208703288490283,8,LLTR+,4,0.7822975769784664,0.5387373434463001,0.5387373434463001,0.0
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,1,LLTR+,1,0.22300471789377554,-0.00040804384820938844,0.00040804384820938844,0.8849555905924694
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,2,LL0,0,0.15923333333333334,-0.0641794284086516,0.0641794284086516,1.0
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,3,LL+,1,0.33714020865979033,0.1137274469178054,0.1137274469178054,1.1065901834175261e-247
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,4,LLTR+,2,0.360537540463718,0.13712477872173306,0.13712477872173306,1.7271352369862576e-298
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,5,LL+,2,0.49042486047557876,0.26701209873359383,0.26701209873359383,0.0
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,6,LLTR+,3,0.5053534541626398,0.28194069242065484,0.28194069242065484,0.0
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,7,LL+,3,0.6411506641447703,0.41773790240278535,0.41773790240278535,0.0
0.02,0.0002,15.0,0.06666666666666667,0.22341276174198493,0.14279536621823619,8,LLTR+,4,0.652123627885756,0.428710866143771,0.428710866143771,0.0
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,1,LL+,1,0.30026662116193736,0.00020717498917305344,0.00020717498917305344,0.2619467097436056
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,2,LLTR+,2,0.3229773750360342,0.022917928863269876,0.022917928863269876,1.715338321806883e-50
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,3,LLTR+,1,0.20899595522095082,-0.09106349095181349,0.09106349095181349,1.0
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,4,LL+,2,0.42860800138873045,0.12854855521596614,0.12854855521596614,7.250351558380696e-280
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,5,LLTR+,3,0.4432460339879386,0.1431865878151743,0.1431865878151743,1.186520228079e-311
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,6,LL0,0,0.14684444444444444,-0.15321500172831987,0.15321500172831987,1.0
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,7,LL+,3,0.5544999070113679,0.25444046083860355,0.25444046083860355,0.0
0.02,0.0002,18.0,0.05555555555555555,0.3000594461727643,0.13660092177379174,8,LLTR+,4,0.5653140152866268,0.2652545691138625,0.2652545691138625,0.0
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,1,LL+,1,0.2818735927176666,-1.0621794213350189e-05,1.0621794213350189e-05,0.5132741228719092
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,2,LLTR+,2,0.3041490632965842,0.02226484878470425,0.02226484878470425,4.4925731991964074e-49
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,3,LLTR+,1,0.20186721036032798,-0.08001700415155197,0.08001700415155197,1.0
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,4,LL+,2,0.39771893981952455,0.1158347253076446,0.1158347253076446,2.9382580221554916e-252
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,5,LLTR+,3,0.4121696189553141,0.13028540444343417,0.13028540444343417,1.2269839686323504e-283
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,6,LL0,0,0.14065,-0.14123421451187995,0.14123421451187995,1.0
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,7,LL+,3,0.5111855640828216,0.22930134957094161,0.22930134957094161,0.0
0.02,0.0002,20.0,0.05,0.28188421451187995,0.13350369955156952,8,LLTR+,4,0.5218963449415965,0.24001213042971659,0.24001213042971659,0.0
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,1,LLTR+,2,0.2701390933890049,0.0003604248904656715,0.0003604248904656715,0.14159265343489555
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,2,LL+,1,0.2488817544026967,-0.020896914095842517,0.020896914095842517,1.0
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,3,LL+,2,0.34217040853340985,0.07239174003487064,0.07239174003487064,6.3581949152177785e-158
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,4,LLTR+,1,0.1887601797661692,-0.08101848873237,0.08101848873237,1.0
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,5,LLTR+,3,0.35617340094324157,0.08639473244470236,0.08639473244470236,2.4901308501795433e-188
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,6,LL0,0,0.1295,-0.1402786684985392,0.1402786684985392,1.0
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,7,LL+,3,0.43324951165639614,0.16347084315785693,0.16347084315785693,0.0
0.02,0.0002,25.0,0.04,0.2697786684985392,0.1279286995515695,8,LLTR+,4,0.443710536516414,0.1739318680178748,0.1739318680178748,0.0
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,1,LLTR+,2,0.24734278983601662,-0.00024156195839294958,0.00024156195839294958,0.7699111875659981
