rho,T,invB,B,mu,E_ref,active_level_count,density_residual,active_vs_labeled_spectrum_error,below_branch,below_n,below_E,below_E_minus_mu,above_branch,above_n,above_E,above_E_minus_mu,nearest_LLplus_branch,nearest_LLplus_n,nearest_LLplus_E,nearest_LLplus_E_minus_mu,nearest_LLTRplus_branch,nearest_LLTRplus_n,nearest_LLTRplus_E,nearest_LLTRplus_E_minus_mu,fermi_bracketing_spacing,nearest_LLplus_LLTRplus_energy_difference,nearest_LLplus_LLTRplus_abs_splitting,nearest_LLplus_LLTRplus_n_difference
0.01,0.0002,13.503893214682982,0.07405271828665567,0.16781331831818755,0.14691308999638003,13,-8.827480413309274e-12,0.0,LL0,0,0.16746878088962108,-0.00034453742856646596,LLTR+,1,0.23216982130658093,0.06435650298839338,LL+,1,0.3616969626346197,0.19388364431643215,LLTR+,1,0.23216982130658093,0.06435650298839338,0.06470104041695984,-0.12952714132803878,0.12952714132803878,0
0.01,0.0002,13.60400444938821,0.07350776778413737,0.16721565546264722,0.1466092800912261,13,7.185918526886326e-14,0.0,LL0,0,0.16686116107931315,-0.0003544943833340697,LLTR+,1,0.23149704019360565,0.06428138473095843,LL+,1,0.35988418416918977,0.19266852870654255,LLTR+,1,0.23149704019360565,0.06428138473095843,0.0646358791142925,-0.12838714397558412,0.12838714397558412,0
0.01,0.0002,13.704115684093438,0.07297077922077921,0.1666272348450311,0.1463099089671539,13,-5.68295410730002e-15,0.0,LL0,0,0.16626241883116882,-0.00036481601386229023,LLTR+,1,0.23083358132487067,0.06420634647983955,LL+,1,0.35809802816244274,0.19147079331741163,LLTR+,1,0.23083358132487067,0.06420634647983955,0.06457116249370184,-0.12726444683757207,0.12726444683757207,0
0.01,0.0002,13.804226918798665,0.07244157937147462,0.16604789828271607,0.1460148800511666,13,-1.9081958235744878e-17,0.0,LL0,0,0.1656723609991942,-0.00037553728352188176,LLTR+,1,0.23017924644285817,0.0641313481601421,LL+,1,0.3563379151761127,0.1902900168933966,LLTR+,1,0.23017924644285817,0.0641313481601421,0.06450688544366398,-0.12615866873325451,0.12615866873325451,0
0.01,0.0002,13.904338153503893,0.07192,0.1654774982260704,0.1457240995515695,13,9.206177487008915e-14,0.0,LL0,0,0.16509079999999998,-0.00038669822607043103,LLTR+,1,0.22953384293656762,0.0640563447104972,LL+,1,0.3546032824598151,0.18912578423374468,LLTR+,1,0.22953384293656762,0.0640563447104972,0.06444304293656763,-0.12506943952324748,0.12506943952324748,0
0.01,0.0002,14.004449388209121,0.07140587768069896,0.16491589860061825,0.1454374763585592,15,1.4577570053853073e-11,0.0,LL0,0,0.16451755361397935,-0.0003983449866389044,LLTR+,1,0.22889718364089645,0.0639812850402782,LL+,1,0.3528935833545792,0.18797768475396096,LLTR+,1,0.22889718364089645,0.0639812850402782,0.0643796300269171,-0.12399639971368276,0.12399639971368276,0
0.01,0.0002,14.104560622914349,0.07089905362776025,0.16436297591758625,0.14515492194904583,15,-2.1968874636124625e-11,0.0,LL0,0,0.1639524447949527,-0.00041053112263356173,LLTR+,1,0.22826908664453457,0.06390611072694832,LL+,1,0.3512082867217833,0.18684531080419703,LLTR+,1,0.22826908664453457,0.06390611072694832,0.06431664184958188,-0.1229392000772487,0.1229392000772487,0
0.01,0.0002,14.204671857619577,0.07039937353171496,0.16381862082811863,0.1448763502955006,15,8.003148491142476e-12,0.0,LL0,0,0.1633953014878622,-0.00042331934025643947,LLTR+,1,0.2276493751059551,0.06383075427783647,LL+,1,0.3495468763962374,0.18572825556811876,LLTR+,1,0.2276493751059551,0.06383075427783647,0.0642540736180929,-0.12189750129028229,0.12189750129028229,0
0.01,0.0002,14.304783092324804,0.06990668740279939,0.1632827400805788,0.14460167777863017,15,2.695933754015556e-14,0.0,LL0,0,0.1628459564541213,-0.00043678362645749313,LLTR+,1,0.22703787707710452,0.06375513699652571,LL+,1,0.34790885066223154,0.18462611058165274,LLTR+,1,0.22703787707710452,0.06375513699652571,0.0641919206229832,-0.12087097358512702,0.12087097358512702,0
0.01,0.0002,14.404894327030034,0.06942084942084942,0.16275525932816315,0.14433082310369305,15,-1.887772924091813e-12,0.0,LL0,0,0.16230424710424712,-0.00045101222391602525,LLTR+,1,0.22643442533441874,0.06367916600625559,LL+,1,0.34629372175143247,0.18353846242326932,LLTR+,1,0.22643442533441874,0.06367916600625559,0.06413017823017161,-0.11985929641701373,0.11985929641701373,0
